Carimbo de data/hora,TIPO DE SERVIÇO,CHASSI/PLACA,DATA DA RELIZAÇÃO DO SERVIÇO,OBSERVAÇÕES,SETOR,MÊS
15/04/2025 15:43:49,MANUTENÇÃO DE VITRIFICAÇÃO,QGY:0880,15/05/2025,,VEICULO USADO  (VU),maio
16/04/2025 12:32:19,MANUTENÇÃO DE VITRIFICAÇÃO,SBF5I74,16/04/2025,,VEICULO USADO  (VU),abril
16/04/2025 12:33:26,LAVAGEM ESPECIAL,RFX5D56,16/04/2025,,VEICULO USADO  (VU),abril
16/04/2025 16:31:48,LAVAGEM ESPECIAL,SAR9A69,16/04/2025,,VEICULO USADO  (VU),abril
16/04/2025 16:32:50,LAVAGEM ESPECIAL,SAS4G74,16/04/2025,,VEICULO USADO  (VU),abril
16/04/2025 16:33:25,MANUTENÇÃO DE VITRIFICAÇÃO,OSS1B16,16/04/2025,,VEICULO USADO  (VU),abril
17/04/2025 10:15:14,LAVAGEM SIMPLES,TIL2F41,17/04/2025,Retorno ,VEICULO NOVO  (VN),abril
17/04/2025 17:27:27,LAVAGEM SIMPLES,TIC2H91,17/04/2025,,VEICULO NOVO  (VN),abril
17/04/2025 17:28:50,"POLIMENTO, LAVAGEM ESPECIAL",POR6B76,17/04/2025,,VEICULO USADO  (VU),abril
17/04/2025 17:29:25,LAVAGEM SIMPLES,QQH4I26,17/04/2025,,VEICULO USADO  (VU),abril
22/04/2025 09:11:06,LAVAGEM SIMPLES,HYV4F80,22/04/2025,Carro da empresa ,VEICULO USADO  (VU),abril
22/04/2025 10:05:39,LAVAGEM SIMPLES,SJB4E94,22/04/2025,,VEICULO USADO  (VU),abril
22/04/2025 14:33:05,LAVAGEM SIMPLES,HWS:8168,22/04/2025,Carro funcionário ,VEICULO USADO  (VU),abril
22/04/2025 17:44:24,LAVAGEM SIMPLES,PGX0H18,22/04/2025,Carro Lucas leal ,VEICULO USADO  (VU),abril
23/04/2025 08:35:22,LAVAGEM SIMPLES,OJP2A02,22/04/2025,Lavagem chassi ,VEICULO USADO  (VU),abril
23/04/2025 10:48:55,LAVAGEM ESPECIAL,SSN2F66,23/04/2025,,VEICULO USADO  (VU),abril
23/04/2025 10:49:41,MANUTENÇÃO DE VITRIFICAÇÃO,SBL9A01,23/04/2025,,VEICULO USADO  (VU),abril
23/04/2025 10:50:35,LAVAGEM ESPECIAL,THP5B52,23/04/2025,Lavagem de chassi ,VEICULO USADO  (VU),abril
23/04/2025 17:24:39,LAVAGEM SIMPLES,PMP8B84,23/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 16:40:32,"KIT CONSERVAÇÃO, VERNIZ DE MOTOR",KKW:6721,24/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 16:41:40,LAVAGEM SIMPLES,SAR2D54,24/04/2025,Ppf pára-choque ,VEICULO USADO  (VU),abril
24/04/2025 16:44:26,"VERNIZ DE MOTOR, LAVAGEM SIMPLES",OSS1B16,24/04/2025,Retorno ,VEICULO USADO  (VU),abril
25/04/2025 14:50:19,LAVAGEM ESPECIAL,PNK:4652,25/04/2025,,VEICULO USADO  (VU),abril
25/04/2025 14:51:15,"POLIMENTO, LAVAGEM SIMPLES",RNF9B09,25/04/2025,,VEICULO USADO  (VU),abril
25/04/2025 14:53:07,LAVAGEM ESPECIAL,PNH:4904,25/04/2025,,VEICULO USADO  (VU),abril
26/04/2025 10:45:19,LAVAGEM ESPECIAL,PMS:9493,26/04/2025,,VEICULO USADO  (VU),abril
26/04/2025 10:46:05,LAVAGEM ESPECIAL,PNZ:9394,26/04/2025,,VEICULO USADO  (VU),abril
28/04/2025 17:17:25,"POLIMENTO, LAVAGEM SIMPLES",PNR:9472,28/04/2025,,VEICULO USADO  (VU),abril
29/04/2025 17:26:27,"POLIMENTO, LAVAGEM SIMPLES",SAN7A29,29/04/2025,,VEICULO USADO  (VU),abril
29/04/2025 17:27:34,VITRICAÇÃO,TIM7A08,29/04/2025,,VEICULO USADO  (VU),abril
29/04/2025 17:28:22,"POLIMENTO, LAVAGEM SIMPLES",SAO2J52,29/04/2025,,VEICULO USADO  (VU),abril
30/04/2025 11:44:03,MANUTENÇÃO DE VITRIFICAÇÃO,TIJ4G08,30/04/2025,,VEICULO USADO  (VU),abril
30/04/2025 15:26:29,"POLIMENTO, LAVAGEM SIMPLES",TIE1A71,30/04/2025,Pára-choque pintado ,VEICULO USADO  (VU),abril
30/04/2025 15:27:23,LAVAGEM SIMPLES,QFT5B68,30/04/2025,Carro empresa ,VEICULO USADO  (VU),abril
30/04/2025 16:58:40,LAVAGEM ESPECIAL,PGX0H18,30/04/2025,Lucas leal ,VEICULO USADO  (VU),abril
05/05/2025 09:22:58,LAVAGEM SIMPLES,SBE9F98,05/05/2025,Carro empresa ,VEICULO USADO  (VU),maio
05/05/2025 14:11:12,LAVAGEM ESPECIAL,SBF3A32,05/05/2025,,VEICULO USADO  (VU),maio
05/05/2025 14:11:57,MANUTENÇÃO DE VITRIFICAÇÃO,SAX0I56,05/05/2025,,VEICULO USADO  (VU),maio
05/05/2025 15:34:39,MANUTENÇÃO DE VITRIFICAÇÃO,SBL2C41,05/05/2025,,VEICULO USADO  (VU),maio
06/05/2025 08:09:34,VITRICAÇÃO,B03829,05/05/2025,,VEICULO NOVO  (VN),maio
06/05/2025 15:11:19,"KIT CONSERVAÇÃO, VERNIZ DE MOTOR, LAVAGEM ESPECIAL",PMG:8936,06/05/2025,,VEICULO USADO  (VU),maio
07/05/2025 08:16:07,LAVAGEM SIMPLES,TIL3J68,06/05/2025,,VEICULO USADO  (VU),maio
07/05/2025 10:29:59,LAVAGEM SIMPLES,TIL2F41,07/05/2025,,VEICULO USADO  (VU),maio
07/05/2025 12:24:17,LAVAGEM SIMPLES,TII4I09,07/05/2025,,VEICULO USADO  (VU),maio
07/05/2025 16:40:07,"POLIMENTO, LAVAGEM SIMPLES",SBF8E51,07/05/2025,,VEICULO USADO  (VU),maio
08/05/2025 16:05:27,LAVAGEM SIMPLES,GFX9D63,08/05/2025,,VEICULO USADO  (VU),maio
10/05/2025 12:48:37,"VITRICAÇÃO, LAVAGEM SIMPLES",SBI7A96,10/05/2025,,VEICULO USADO  (VU),maio
12/05/2025 09:09:54,"POLIMENTO, LAVAGEM SIMPLES",TIM8C78,10/05/2025,,VEICULO USADO  (VU),maio
12/05/2025 09:10:30,"POLIMENTO, LAVAGEM SIMPLES",SAQ5J12,09/05/2025,,VEICULO USADO  (VU),maio
12/05/2025 09:11:10,"KIT CONSERVAÇÃO, POLIMENTO, LAVAGEM SIMPLES",ORV:3667,10/05/2025,,VEICULO USADO  (VU),maio
12/05/2025 09:12:15,"POLIMENTO, LAVAGEM SIMPLES",QOQ9F85,09/05/2025,,VEICULO USADO  (VU),maio
12/05/2025 09:12:59,LAVAGEM ESPECIAL,SAS4E80,12/05/2025,,VEICULO USADO  (VU),maio
12/05/2025 15:24:36,LAVAGEM ESPECIAL,RID8C34,12/05/2025,,VEICULO USADO  (VU),maio
13/05/2025 10:43:20,"VERNIZ DE MOTOR, LAVAGEM ESPECIAL",PMF:0783,13/05/2025,,VEICULO USADO  (VU),maio
13/05/2025 10:43:59,"POLIMENTO, LAVAGEM ESPECIAL",NUP1B66,13/05/2025,,VEICULO USADO  (VU),maio
13/05/2025 10:44:36,"LAVAGEM SIMPLES, MANUTENÇÃO DE VITRIFICAÇÃO",SAP2G91,13/05/2025,,VEICULO USADO  (VU),maio
13/05/2025 17:21:14,"VERNIZ DE MOTOR, LAVAGEM ESPECIAL",RZG3D42,13/05/2025,,VEICULO USADO  (VU),maio
14/05/2025 17:44:33,"VERNIZ DE MOTOR, LAVAGEM ESPECIAL",RIC8H78,14/05/2025,,VEICULO USADO  (VU),maio
15/05/2025 11:30:44,LAVAGEM SIMPLES,SAR2D54,15/05/2025,,VEICULO USADO  (VU),maio
15/05/2025 17:14:41,"VITRICAÇÃO, LAVAGEM SIMPLES",RIA0F85,15/05/2025,,VEICULO USADO  (VU),maio
16/05/2025 15:07:31,LAVAGEM SIMPLES,NEC:4325,16/05/2025,,VEICULO USADO  (VU),maio
17/05/2025 10:02:58,LAVAGEM SIMPLES,TIE3B01,17/05/2025,,VEICULO USADO  (VU),maio
19/05/2025 11:27:21,LAVAGEM ESPECIAL,SBO5J10,19/05/2025,,VEICULO USADO  (VU),maio
19/05/2025 17:29:24,POLIMENTO,SBF8E51,19/05/2025,,VEICULO USADO  (VU),maio
19/05/2025 17:30:06,LAVAGEM ESPECIAL,RIF5A90,19/05/2025,,VEICULO USADO  (VU),maio
