Carimbo de data/hora,"TIPO DE SERVIÇO
",CHASSI/PLACA,DATA DA RELIZAÇÃO DO SERVIÇO,OBSERVAÇÕES,SETOR,MÊS
30/04/2025 13:51:19,LAVAGEM SIMPLES,SAZ4B64,30/04/2025,,VEICULO USADO  (VU),abril
30/04/2025 14:31:11,LAVAGEM SIMPLES,115508,30/04/2025,,VEICULO NOVO  (VN),abril
30/04/2025 14:31:53,LAVAGEM SIMPLES,258453,30/04/2025,,VEICULO NOVO  (VN),abril
30/04/2025 16:16:39,LAVAGEM SIMPLES,115505,30/04/2025,,VEICULO NOVO  (VN),abril
02/05/2025 09:02:49,VITRICAÇÃO,SB245623,02/05/2025,,VEICULO NOVO  (VN),maio
05/05/2025 10:12:48,LAVAGEM SIMPLES,SAS7J11,05/05/2025,,VEICULO NOVO  (VN),maio
05/05/2025 10:13:18,LAVAGEM SIMPLES,SBF5C18,05/05/2025,,VEICULO USADO  (VU),maio
05/05/2025 11:25:08,LAVAGEM SIMPLES,SBJ9D21,05/05/2025,,VEICULO NOVO  (VN),maio
05/05/2025 14:21:21,LAVAGEM SIMPLES,SBE5C05,05/05/2025,,VEICULO USADO  (VU),maio
05/05/2025 14:53:52,LAVAGEM SIMPLES,SBG9C77,05/05/2025,,VEICULO USADO  (VU),maio
05/05/2025 15:39:35,LAVAGEM SIMPLES,FAO4F85,05/05/2025,,VEICULO USADO  (VU),maio
05/05/2025 17:05:44,LAVAGEM SIMPLES,RTO3D09,05/05/2025,,VEICULO USADO  (VU),maio
06/05/2025 09:11:01,LAVAGEM SIMPLES,231615,06/05/2025,,VEICULO NOVO  (VN),maio
06/05/2025 09:13:44,LAVAGEM SIMPLES,116820,06/05/2025,,VEICULO NOVO  (VN),maio
06/05/2025 09:16:06,LAVAGEM SIMPLES,256260,06/05/2025,,VEICULO NOVO  (VN),maio
06/05/2025 11:39:18,KIT CONSERVAÇÃO,OIE4H74,06/05/2025,,CARRO DE OFICINA (CT),maio
06/05/2025 14:34:12,LAVAGEM SIMPLES,236472,06/05/2025,,VEICULO NOVO  (VN),maio
06/05/2025 15:02:07,LAVAGEM SIMPLES,214591,06/05/2025,,VEICULO NOVO  (VN),maio
06/05/2025 15:53:36,LAVAGEM SIMPLES,196204,06/05/2025,,VEICULO NOVO  (VN),maio
06/05/2025 16:44:53,LAVAGEM SIMPLES,SAV8I10,06/05/2025,,VEICULO USADO  (VU),maio
07/05/2025 11:14:42,KIT CONSERVAÇÃO,SBV2F92,07/05/2025,,CARRO DE OFICINA (CT),maio
07/05/2025 11:39:51,LAVAGEM SIMPLES,SBS7G28,07/05/2025,,VEICULO USADO  (VU),maio
07/05/2025 15:13:55,LAVAGEM SIMPLES,250301,07/05/2025,,VEICULO NOVO  (VN),maio
08/05/2025 09:16:40,PREPARAÇÃO DE SEMI-NOVO,PMS1563,08/05/2025,,VEICULO USADO  (VU),maio
08/05/2025 09:18:04,KIT CONSERVAÇÃO,SBI5B79,07/05/2025,,CARRO DE OFICINA (CT),maio
08/05/2025 10:46:28,KIT CONSERVAÇÃO,SAX6A98,08/05/2025,,CARRO DE OFICINA (CT),maio
12/05/2025 11:09:50,LAVAGEM SIMPLES,THU8H02,12/05/2025,,VEICULO USADO  (VU),maio
13/05/2025 09:49:56,LAVAGEM SIMPLES,THV7G72,13/05/2025,,VEICULO NOVO  (VN),maio
13/05/2025 13:38:59,LAVAGEM SIMPLES,238134,13/05/2025,,VEICULO NOVO  (VN),maio
13/05/2025 13:39:34,PREPARAÇÃO DE SEMI-NOVO,PML7182,13/05/2025,,VEICULO USADO  (VU),maio
14/05/2025 09:18:53,LAVAGEM SIMPLES,SAS7J11,14/05/2025,,VEICULO NOVO  (VN),maio
14/05/2025 09:19:28,LAVAGEM SIMPLES,SBJ9D21,14/05/2025,,VEICULO NOVO  (VN),maio
14/05/2025 11:32:07,KIT CONSERVAÇÃO,SBE5J05,14/05/2025,,CARRO DE OFICINA (CT),maio
14/05/2025 13:58:35,LAVAGEM SIMPLES,256117,14/05/2025,,VEICULO NOVO  (VN),maio
14/05/2025 14:38:46,LAVAGEM SIMPLES,273388,14/05/2025,,VEICULO NOVO  (VN),maio
14/05/2025 14:39:15,LAVAGEM SIMPLES,254728,14/05/2025,,VEICULO NOVO  (VN),maio
15/05/2025 10:03:23,LAVAGEM SIMPLES,TIF6F12,15/05/2025,,VEICULO NOVO  (VN),maio
15/05/2025 11:57:21,LAVAGEM SIMPLES,SBE5C05,15/05/2025,,VEICULO USADO  (VU),maio
15/05/2025 11:57:53,LAVAGEM SIMPLES,THU9F52,15/05/2025,,VEICULO NOVO  (VN),maio
15/05/2025 14:20:51,LAVAGEM SIMPLES,PNT3I83,15/05/2025,,VEICULO USADO  (VU),maio
15/05/2025 15:51:13,LAVAGEM SIMPLES,PMS1563,15/05/2025,,VEICULO USADO  (VU),maio
16/05/2025 09:55:47,LAVAGEM SIMPLES,TIK9C61,16/05/2025,,VEICULO NOVO  (VN),maio
16/05/2025 14:08:35,LAVAGEM SIMPLES,THU9C12,16/05/2025,,VEICULO NOVO  (VN),maio
16/05/2025 14:09:04,PREPARAÇÃO DE SEMI-NOVO,SAO9J30,16/05/2025,,VEICULO USADO  (VU),maio
16/05/2025 15:06:26,LAVAGEM SIMPLES,253501,16/05/2025,,VEICULO NOVO  (VN),maio
19/05/2025 10:45:05,PREPARAÇÃO DE SEMI-NOVO,PNZ8B63,19/05/2025,,VEICULO USADO  (VU),maio
19/05/2025 10:51:47,LAVAGEM SIMPLES,SAS7J11,19/05/2025,,VEICULO NOVO  (VN),maio
19/05/2025 17:02:32,KIT CONSERVAÇÃO,POG9C94,19/05/2025,,CARRO DE OFICINA (CT),maio
20/05/2025 09:13:45,LAVAGEM SIMPLES,THZ8A22,20/05/2025,,VEICULO NOVO  (VN),maio
20/05/2025 10:19:14,LAVAGEM SIMPLES,TIH1D62,20/05/2025,,VEICULO NOVO  (VN),maio
20/05/2025 10:39:14,LAVAGEM SIMPLES,223921,20/05/2025,,VEICULO NOVO  (VN),maio
20/05/2025 10:39:38,LAVAGEM SIMPLES,253501,20/05/2025,,VEICULO NOVO  (VN),maio
20/05/2025 10:40:38,LAVAGEM SIMPLES,220921,20/05/2025,,VEICULO NOVO  (VN),maio
20/05/2025 10:47:04,PREPARAÇÃO DE SEMI-NOVO,RII1B68,20/05/2025,,VEICULO USADO  (VU),maio
20/05/2025 15:47:01,KIT CONSERVAÇÃO,SBV0G68,20/05/2025,,CARRO DE OFICINA (CT),maio
21/05/2025 10:56:15,LAVAGEM SIMPLES,262205,21/05/2025,,VEICULO NOVO  (VN),maio
21/05/2025 10:56:33,LAVAGEM SIMPLES,264672,21/05/2025,,VEICULO NOVO  (VN),maio
21/05/2025 10:56:56,LAVAGEM SIMPLES,268550,21/05/2025,,VEICULO NOVO  (VN),maio
21/05/2025 14:42:30,LAVAGEM SIMPLES,SBU4G68,21/05/2025,,VEICULO USADO  (VU),maio
21/05/2025 14:43:32,LAVAGEM SIMPLES,SBU4G68,21/05/2025,,VEICULO USADO  (VU),maio
21/05/2025 15:52:14,LAVAGEM SIMPLES,TIA5B32,21/05/2025,,VEICULO NOVO  (VN),maio
21/05/2025 15:52:49,KIT CONSERVAÇÃO,SBU9G28,21/05/2025,,CARRO DE OFICINA (CT),maio
22/05/2025 10:02:00,LAVAGEM SIMPLES,TIA3H42,22/05/2025,,VEICULO NOVO  (VN),maio
22/05/2025 10:02:25,LAVAGEM SIMPLES,275280,22/05/2025,,VEICULO NOVO  (VN),maio
22/05/2025 16:42:15,LAVAGEM SIMPLES,SBG4F05,22/05/2025,,VEICULO USADO  (VU),maio
22/05/2025 16:42:36,KIT CONSERVAÇÃO,SAZ8A58,22/05/2025,,CARRO DE OFICINA (CT),maio
23/05/2025 09:30:07,VITRICAÇÃO,RIA7I91,23/05/2025,,VEICULO USADO  (VU),maio
23/05/2025 11:32:22,LAVAGEM SIMPLES,PNV7098,23/05/2025,,VEICULO USADO  (VU),maio
23/05/2025 11:32:50,LAVAGEM SIMPLES,RIF9I89,23/05/2025,,VEICULO USADO  (VU),maio
23/05/2025 11:53:12,KIT CONSERVAÇÃO,SAU6I67,23/05/2025,,CARRO DE OFICINA (CT),maio
26/05/2025 11:37:45,LAVAGEM SIMPLES,SBJ9D21 ,26/05/2025,,VEICULO NOVO  (VN),maio
26/05/2025 11:38:15,LAVAGEM SIMPLES,SAS7J11 ,26/05/2025,,VEICULO NOVO  (VN),maio
26/05/2025 15:41:31,LAVAGEM SIMPLES,TIA5J72,26/05/2025,,VEICULO NOVO  (VN),maio
27/05/2025 10:14:42,VITRICAÇÃO,TIA5J92,27/05/2025,Vitrificação concluída ok,VEICULO NOVO  (VN),maio
28/05/2025 09:38:19,LAVAGEM SIMPLES,TIF8H32,28/05/2025,,VEICULO NOVO  (VN),maio
28/05/2025 09:38:42,LAVAGEM SIMPLES,268550,28/05/2025,,VEICULO NOVO  (VN),maio
28/05/2025 09:39:15,PREPARAÇÃO DE SEMI-NOVO,SAO4F85,28/05/2025,,VEICULO USADO  (VU),maio
29/05/2025 08:30:20,PREPARAÇÃO DE SEMI-NOVO,PNV7098,29/05/2025,,VEICULO USADO  (VU),maio
29/05/2025 08:30:43,LAVAGEM SIMPLES,236423,29/05/2025,,VEICULO NOVO  (VN),maio
29/05/2025 08:31:35,LAVAGEM SIMPLES,THV8I32,29/05/2025,,VEICULO NOVO  (VN),maio
29/05/2025 15:28:26,LAVAGEM SIMPLES,TIF7I22,29/05/2025,,VEICULO NOVO  (VN),maio
30/05/2025 09:40:36,LAVAGEM SIMPLES,252181,30/05/2025,,VEICULO NOVO  (VN),maio
30/05/2025 09:41:04,PREPARAÇÃO DE SEMI-NOVO,NQZ2C44,30/05/2025,,VEICULO USADO  (VU),maio
30/05/2025 14:49:23,LAVAGEM SIMPLES,THU8E32,30/05/2025,,VEICULO NOVO  (VN),maio
30/05/2025 16:12:26,LAVAGEM SIMPLES,TIE0E32,30/05/2025,,VEICULO NOVO  (VN),maio
02/06/2025 16:26:35,LAVAGEM SIMPLES,THS5D92,02/06/2025,,VEICULO NOVO  (VN),junho
02/06/2025 16:27:17,LAVAGEM SIMPLES,SAP3I56 ,02/06/2025,,VEICULO USADO  (VU),junho
02/06/2025 16:27:43,LAVAGEM SIMPLES,RIF9I89 ,02/06/2025,,VEICULO USADO  (VU),junho
04/06/2025 10:35:12,LAVAGEM SIMPLES,275280,04/06/2025,,VEICULO NOVO  (VN),junho
04/06/2025 14:54:53,PREPARAÇÃO DE SEMI-NOVO,RIG7C96,04/06/2025,,VEICULO USADO  (VU),junho
04/06/2025 14:55:25,VITRICAÇÃO,TII9H52,04/06/2025,,VEICULO NOVO  (VN),junho
05/06/2025 09:14:29,VITRICAÇÃO,TIF3D62,05/06/2025,,VEICULO NOVO  (VN),junho
05/06/2025 16:14:44,PREPARAÇÃO DE SEMI-NOVO,RSM1C41,05/06/2025,,VEICULO USADO  (VU),junho
05/06/2025 16:49:48,LAVAGEM SIMPLES,235905,05/06/2025,,VEICULO NOVO  (VN),junho
06/06/2025 10:38:37,LAVAGEM SIMPLES,SAS7J11 ,06/06/2025,,VEICULO NOVO  (VN),junho
06/06/2025 15:44:56,LAVAGEM SIMPLES,POB3I34,06/06/2025,,VEICULO USADO  (VU),junho
06/06/2025 15:45:18,LAVAGEM SIMPLES,PNV5I55,06/06/2025,,VEICULO USADO  (VU),junho
09/06/2025 08:53:04,LAVAGEM SIMPLES,THY9B21,09/06/2025,,VEICULO NOVO  (VN),junho
10/06/2025 09:51:18,VITRICAÇÃO,TIK8J42,10/06/2025,,VEICULO NOVO  (VN),junho
10/06/2025 10:59:27,LAVAGEM SIMPLES,TIF5C72,10/06/2025,,VEICULO NOVO  (VN),junho
10/06/2025 12:29:51,KIT CONSERVAÇÃO,SOB2D48,10/06/2025,,CARRO DE OFICINA (CT),junho
10/06/2025 14:38:21,LAVAGEM SIMPLES,THX0C42,10/06/2025,,VEICULO NOVO  (VN),junho
10/06/2025 14:40:50,PREPARAÇÃO DE SEMI-NOVO,SAS1I78,10/06/2025,,VEICULO USADO  (VU),junho
11/06/2025 14:04:15,PREPARAÇÃO DE SEMI-NOVO,POJ2668,11/06/2025,,VEICULO NOVO  (VN),junho
11/06/2025 14:05:10,LAVAGEM SIMPLES,SBJ9D21 ,11/06/2025,Teste trive,VEICULO NOVO  (VN),junho
12/06/2025 08:24:08,"KIT CONSERVAÇÃO, LAVAGEM DE BANCOS",PNO5408,12/06/2025,,CARRO DE OFICINA (CT),junho
12/06/2025 14:07:07,PREPARAÇÃO DE SEMI-NOVO,PNV5562,12/06/2025,,VEICULO USADO  (VU),junho
13/06/2025 09:44:27,LAVAGEM SIMPLES,THZ2I95,13/06/2025,,VEICULO NOVO  (VN),junho
13/06/2025 10:01:47,PREPARAÇÃO DE SEMI-NOVO,SBG7i85,13/06/2025,,VEICULO USADO  (VU),junho
13/06/2025 10:59:42,LAVAGEM SIMPLES,PSB0B43,13/06/2025,,CARRO DE OFICINA (CT),junho
13/06/2025 15:53:46,LAVAGEM SIMPLES,SAO9J30,13/06/2025,,VEICULO USADO  (VU),junho
16/06/2025 09:13:17,PREPARAÇÃO DE SEMI-NOVO,RII3J47,16/06/2025,,VEICULO USADO  (VU),junho
16/06/2025 16:27:17,LAVAGEM SIMPLES,124500,16/06/2025,,VEICULO NOVO  (VN),junho
16/06/2025 16:27:41,LAVAGEM SIMPLES,275277,16/06/2025,,VEICULO NOVO  (VN),junho
17/06/2025 08:58:48,VITRICAÇÃO,TIJ3F65,17/06/2025,,VEICULO NOVO  (VN),junho
17/06/2025 11:29:45,LAVAGEM SIMPLES,220921,17/06/2025,,VEICULO NOVO  (VN),junho
17/06/2025 16:09:45,LAVAGEM SIMPLES,SAS7J11 ,17/06/2025,Teste drive ,VEICULO NOVO  (VN),junho
17/06/2025 16:10:18,LAVAGEM SIMPLES,SBJ9D21 ,17/06/2025,Teste trive ,VEICULO NOVO  (VN),junho
18/06/2025 10:08:24,LAVAGEM SIMPLES,SAY2D05 ,18/06/2025,"Entregar seminovo
",VEICULO USADO  (VU),junho
18/06/2025 11:41:21,LAVAGEM SIMPLES,SBQ0H09 ,18/06/2025,Entregar seminovo ,VEICULO USADO  (VU),junho
18/06/2025 14:18:09,LAVAGEM SIMPLES,SBE1J34 ,18/06/2025,Entregar seminovo ,VEICULO USADO  (VU),junho
18/06/2025 17:26:40,"KIT CONSERVAÇÃO, POLIMENTO",POW9H83,18/06/2025,,CARRO DE OFICINA (CT),junho
20/06/2025 15:02:46,LAVAGEM SIMPLES,PML7182,20/06/2025,,VEICULO USADO  (VU),junho
20/06/2025 15:03:35,LAVAGEM SIMPLES,RII3J47,20/06/2025,,VEICULO USADO  (VU),junho
20/06/2025 16:53:43,LAVAGEM SIMPLES,PND0B11,20/06/2025,,VEICULO USADO  (VU),junho
23/06/2025 11:10:53,LAVAGEM SIMPLES,PMX7292,23/06/2025,,VEICULO USADO  (VU),junho
